timestamp,user_id,event_origin,event_name,event_goods_id,event_shop_id
2019-09-22 01:00:28.849,0HxrF9vnFhT-1HREcMRGTfgKb0gWFzxo,my_goods,app_page_view,,
2019-09-22 01:00:29.617,-L2Awbp23c9b1o1R_do--BZEtPivAUua,goods_search_result/린넨,app_page_view,,
2019-09-22 01:00:30.065,wQc5i9p4fjdPPzxHzdmxz80MCqih61BM,category_search_result/상의,app_page_view,,
2019-09-22 01:00:31.753,NltSkhwFtPBq2YWQijvcUferO-ntyZAw,my_goods,app_page_view,,
2019-09-22 01:00:32.422,U6uvgDZUQHYe-yWPjps9Mh1fx2-Hq_dB,shops_ranking,app_page_view,,
2019-09-22 01:00:33.295,-16-xXbeDcvkZJtTpRwMi57Yo2ZQpORv,my_goods,app_page_view,,
2019-09-22 01:00:33.341,0HxrF9vnFhT-1HREcMRGTfgKb0gWFzxo,goods_search_result/멜빵,app_page_view,,
2019-09-22 01:00:33.501,aOIcGjvaiQ8nhD266wZfvdLk2Y3lSMEK,my_goods,app_page_view,,
2019-09-22 01:00:34.411,WzKWb6BQ8EyuucRx4PZF4SSLEtm27jPn,shops_bookmark,app_page_view,,
2019-09-22 01:00:34.455,rchHhyr15m2QG9yIddJV1x8wn7qxe1RW,my_goods,enter_browser,6180,46
2019-09-22 01:00:34.498,LoHTH0o9UCeSVnojgKmiARrik17nQKaZ,shops_ranking,app_page_view,,
2019-09-22 01:00:34.611,-L2Awbp23c9b1o1R_do--BZEtPivAUua,goods_search_result/린넨,enter_browser,4318,2
2019-09-22 01:00:35.709,iXgmErMywktEIb8HouKWjFSbHfNyb_NJ,shops_bookmark,app_page_view,,
2019-09-22 01:00:36.277,LoHTH0o9UCeSVnojgKmiARrik17nQKaZ,shops_ranking,enter_browser,,22
2019-09-22 01:00:36.921,HZfe8KiMFQTpmYQZcpwZ5j59Ws7rWLtZ,my_goods,enter_browser,1575,167
2019-09-22 01:00:37.725,PC8_d3Ni8ZRLFsDOGAWZF07THb-EoyK-,category_search_result/원피스,app_page_view,,
